Required Action,Time,Correct,Mode,Tab
Seek,5.001,False,speed,layout
Volume,5.001,False,speed,layout
Mute,4.201,True,speed,layout
Mute,5.001,False,speed,layout
Previous,5.0,False,speed,layout
Mute,4.701,True,speed,layout
Previous,5.0,False,speed,layout
Seek,5.001,False,speed,layout
Volume,4.912,True,speed,layout
Stop,5.0,False,speed,layout
Next,5.001,False,speed,remote
Play/Pause,5.0,False,speed,remote
Seek,4.902,True,speed,remote
Previous,5.0,False,speed,remote
Volume,5.0,False,speed,remote
Stop,3.7,True,speed,remote
ESC,5.0,False,speed,remote
Play/Pause,3.001,True,speed,remote
Volume,5.0,False,speed,remote
Mute,5.001,False,speed,remote
Stop,5.0,False,interactive,layout
Next,5.0,False,interactive,layout
Mute,5.0,False,interactive,layout
Mute,4.239,True,interactive,layout
Seek,5.0,False,interactive,layout
Next,5.0,False,interactive,layout
OK,4.62,True,interactive,layout
Volume,5.001,False,interactive,layout
OK,5.0,False,interactive,layout
Previous,5.001,False,interactive,layout
Stop,5.0,False,interactive,remote
Next,2.996,True,interactive,remote
Seek,5.0,False,interactive,remote
Volume,5.001,False,interactive,remote
OK,3.251,True,interactive,remote
Play/Pause,5.001,False,interactive,remote
ESC,5.0,False,interactive,remote
Seek,2.966,True,interactive,remote
Previous,3.451,True,interactive,remote
Stop,5.001,False,interactive,remote
