Required Action,Time,Correct,Mode,Tab
Next,5.007,False,speed,layout
Play/Pause,5.002,False,speed,layout
Next,5.0,False,speed,layout
Seek,5.006,False,speed,layout
Volume,5.154,False,speed,layout
Play/Pause,3.779,True,speed,layout
Previous,5.0,False,speed,layout
OK,5.01,False,speed,layout
OK,3.374,True,speed,layout
Mute,4.136,True,speed,layout
Seek,3.512,True,speed,remote
OK,1.398,True,speed,remote
Mute,2.484,True,speed,remote
Previous,1.846,True,speed,remote
Play/Pause,2.085,True,speed,remote
OK,1.37,True,speed,remote
ESC,2.467,True,speed,remote
Volume,3.035,True,speed,remote
OK,1.416,True,speed,remote
ESC,1.617,True,speed,remote
OK,5.019,False,interactive,layout
Stop,5.015,False,interactive,layout
Mute,5.015,False,interactive,layout
OK,4.913,True,interactive,layout
Next,5.131,False,interactive,layout
Play/Pause,4.029,True,interactive,layout
Play/Pause,5.198,False,interactive,layout
OK,2.43,True,interactive,layout
Previous,5.015,False,interactive,layout
Volume,5.039,False,interactive,layout
Next,2.233,True,interactive,remote
Previous,3.423,True,interactive,remote
OK,3.183,True,interactive,remote
Previous,3.974,True,interactive,remote
Previous,3.523,True,interactive,remote
Stop,2.477,True,interactive,remote
Stop,2.79,True,interactive,remote
Seek,3.762,True,interactive,remote
Mute,4.54,True,interactive,remote
OK,1.556,True,interactive,remote
